"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.16107,0.012027,0,-0.0042282,1,0.308,0.5,0.308,1
-0.16145,0.012172,0,-0.0043166,1,0.309,0.5,0.309,1
-0.16183,0.012316,0,-0.0044049,1,0.31,0.5,0.31,1
-0.16221,0.012461,0,-0.0044933,1,0.311,0.5,0.311,1
-0.16258,0.012605,0,-0.0045817,1,0.312,0.5,0.312,1
-0.16296,0.01275,0,-0.0046701,1,0.313,0.5,0.313,1
-0.16334,0.012894,0,-0.0047584,1,0.314,0.5,0.314,1
-0.16372,0.013039,0,-0.0048468,1,0.315,0.5,0.315,1
-0.1641,0.013183,0,-0.0049352,1,0.316,0.5,0.316,1
-0.16448,0.013327,0,-0.0050236,1,0.317,0.5,0.317,1
-0.16486,0.013472,0,-0.0051119,1,0.318,0.5,0.318,1
-0.16524,0.013616,0,-0.0052003,1,0.319,0.5,0.319,1
-0.16562,0.013761,0,-0.0052887,1,0.32,0.5,0.32,1
-0.166,0.013905,0,-0.0053771,1,0.321,0.5,0.321,1
-0.16638,0.01405,0,-0.0054654,1,0.322,0.5,0.322,1
-0.16675,0.014194,0,-0.0055538,1,0.323,0.5,0.323,1
-0.16713,0.014338,0,-0.0056422,1,0.324,0.5,0.324,1
-0.16751,0.014483,0,-0.0057306,1,0.325,0.5,0.325,1
-0.16789,0.014627,0,-0.005819,1,0.326,0.5,0.326,1
-0.16827,0.014772,0,-0.0059073,1,0.327,0.5,0.327,1
-0.16865,0.014916,0,-0.0059957,1,0.328,0.5,0.328,1
-0.16903,0.015061,0,-0.0060841,1,0.329,0.5,0.329,1
-0.16941,0.015205,0,-0.0061725,1,0.33,0.5,0.33,1
-0.16979,0.01535,0,-0.0062608,1,0.331,0.5,0.331,1
-0.17017,0.015494,0,-0.0063492,1,0.332,0.5,0.332,1
-0.17054,0.015638,0,-0.0064376,1,0.333,0.5,0.333,1
-0.17092,0.015783,0,-0.006526,1,0.334,0.5,0.334,1
-0.1713,0.015927,0,-0.0066143,1,0.335,0.5,0.335,1
-0.17168,0.016072,0,-0.0067027,1,0.336,0.5,0.336,1
-0.17206,0.016216,0,-0.0067911,1,0.337,0.5,0.337,1
-0.17244,0.016361,0,-0.0068795,1,0.338,0.5,0.338,1
-0.17282,0.016505,0,-0.0069678,1,0.339,0.5,0.339,1
-0.1732,0.01665,0,-0.0070562,1,0.34,0.5,0.34,1
-0.17358,0.016794,0,-0.0071446,1,0.341,0.5,0.341,1
-0.17396,0.016938,0,-0.007233,1,0.342,0.5,0.342,1
-0.17434,0.017083,0,-0.0073213,1,0.343,0.5,0.343,1
-0.17471,0.017227,0,-0.0074097,1,0.344,0.5,0.344,1
-0.17509,0.017372,0,-0.0074981,1,0.345,0.5,0.345,1
-0.17547,0.017516,0,-0.0075865,1,0.346,0.5,0.346,1
-0.17585,0.017661,0,-0.0076748,1,0.347,0.5,0.347,1
-0.17623,0.017805,0,-0.0077632,1,0.348,0.5,0.348,1
-0.17661,0.017949,0,-0.0078516,1,0.349,0.5,0.349,1
-0.17699,0.018094,0,-0.00794,1,0.35,0.5,0.35,1
-0.17727,0.0183,0,-0.008065,1,0.351,0.5,0.351,1
-0.17755,0.018506,0,-0.0081901,1,0.352,0.5,0.352,1
-0.17783,0.018713,0,-0.0083151,1,0.353,0.5,0.353,1
-0.17811,0.018919,0,-0.0084402,1,0.354,0.5,0.354,1
-0.17839,0.019125,0,-0.0085652,1,0.355,0.5,0.355,1
-0.17867,0.019332,0,-0.0086903,1,0.356,0.5,0.356,1
-0.17895,0.019538,0,-0.0088153,1,0.357,0.5,0.357,1
-0.17923,0.019744,0,-0.0089404,1,0.358,0.5,0.358,1
-0.17951,0.019951,0,-0.0090654,1,0.359,0.5,0.359,1
-0.1798,0.020157,0,-0.0091905,1,0.36,0.5,0.36,1
-0.18008,0.020363,0,-0.0093155,1,0.361,0.5,0.361,1
-0.18036,0.020569,0,-0.0094406,1,0.362,0.5,0.362,1
-0.18064,0.020776,0,-0.0095656,1,0.363,0.5,0.363,1
-0.18092,0.020982,0,-0.0096907,1,0.364,0.5,0.364,1
-0.1812,0.021188,0,-0.0098157,1,0.365,0.5,0.365,1
-0.18148,0.021395,0,-0.0099408,1,0.366,0.5,0.366,1
-0.18176,0.021601,0,-0.010066,1,0.367,0.5,0.367,1
-0.18204,0.021807,0,-0.010191,1,0.368,0.5,0.368,1
